,matched_features;;;;;;;;;;;;;;;
Histidine metabolism,cpd:C00025; cpd:C03680; cpd:C00785; cpd:C00135; cpd:C01152; cpd:C00439; cpd:C02835; cpd:C05828; cpd:C00049; hsa:3034; hsa:220;;;;;
Arginine biosynthesis,cpd:C00025; cpd:C00062; cpd:C00327; cpd:C00049; cpd:C00169; cpd:C00077; cpd:C00064; cpd:C00026; cpd:C00624; hsa:445;;;;;;
Glycine, serine and threonine metabolism,cpd:C00065; cpd:C00114; cpd:C00576; cpd:C00719; cpd:C00581; cpd:C01026; cpd:C00037; cpd:C00188; cpd:C00258; cpd:C00168; cpd:C00300; cpd:C00109; cpd:C03508; cpd:C00022; cpd:C00430; hsa:2731
Aminoacyl-tRNA biosynthesis,cpd:C00152; cpd:C00135; cpd:C00079; cpd:C00062; cpd:C00064; cpd:C00037; cpd:C00049; cpd:C00065; cpd:C00073; cpd:C00047; cpd:C00123; cpd:C00188; cpd:C00078; cpd:C00082; cpd:C00148; cpd:C00025
Alanine, aspartate and glutamate metabolism,cpd:C01042; cpd:C00049; cpd:C00152; cpd:C00025; cpd:C00064; cpd:C00940; cpd:C00158; cpd:C00022; cpd:C00042; cpd:C00026; cpd:C00169; hsa:259307; hsa:445; hsa:9945;;
Glyoxylate and dicarboxylate metabolism,cpd:C00168; cpd:C00417; cpd:C00158; cpd:C00149; cpd:C00065; cpd:C00037; cpd:C00025; cpd:C00258; cpd:C00311; cpd:C00022; cpd:C00064; hsa:2731;;;;
Arginine and proline metabolism,cpd:C00062; cpd:C05933; cpd:C00581; cpd:C00300; cpd:C02714; cpd:C04281; cpd:C00148; cpd:C03287; cpd:C00025; cpd:C01165; cpd:C00077; cpd:C01035; cpd:C00022; cpd:C04282;;
Nicotinate and nicotinamide metabolism,cpd:C00049; cpd:C03722; cpd:C00153; cpd:C02918; cpd:C05842; hsa:952; hsa:4837; hsa:316; hsa:4907;;;;;;;
Nitrogen metabolism,cpd:C00025; cpd:C00169; cpd:C00064; hsa:771;;;;;;;;;;;;
alpha-Linolenic acid metabolism,cpd:C00157; cpd:C06427; cpd:C16300; hsa:123745; hsa:26279; hsa:5320;;;;;;;;;;
Glycerophospholipid metabolism,cpd:C00350; cpd:C00157; cpd:C04230; cpd:C00588; cpd:C00114; cpd:C00416; cpd:C02737; cpd:C00093; cpd:C00670; cpd:C01233; hsa:43; hsa:123745; hsa:26279; hsa:5320;;
Linoleic acid metabolism,cpd:C01595; cpd:C00157; hsa:123745; hsa:26279; hsa:5320;;;;;;;;;;;
Biosynthesis of unsaturated fatty acids,cpd:C00249; cpd:C01530; cpd:C06425; cpd:C00712; cpd:C01595; cpd:C00219; cpd:C06429; cpd:C06428; cpd:C06427;;;;;;;
Lysine degradation,cpd:C00047; cpd:C01181; cpd:C03793; cpd:C05545; cpd:C00956; cpd:C00408; cpd:C00487; cpd:C01259; cpd:C00450;;;;;;;
Phenylalanine metabolism,cpd:C00079; cpd:C01586; cpd:C00082; hsa:220; hsa:259307;;;;;;;;;;;
Butanoate metabolism,cpd:C01089; cpd:C00164; cpd:C00025; cpd:C00246; cpd:C00026; cpd:C00042;;;;;;;;;;
D-Glutamine and D-glutamate metabolism,cpd:C00025; cpd:C00064; cpd:C00026;;;;;;;;;;;;;
Tyrosine metabolism,cpd:C04043; cpd:C05581; cpd:C00082; cpd:C03765; cpd:C00022; cpd:C00164; hsa:1638; hsa:220; hsa:125; hsa:131; hsa:259307; hsa:316;;;;
Citrate cycle (TCA cycle),cpd:C00026; cpd:C00042; cpd:C00311; cpd:C00149; cpd:C00417; cpd:C00158; cpd:C00022;;;;;;;;;
Phenylalanine, tyrosine and tryptophan biosynthesis,cpd:C00079; cpd:C00082; hsa:259307;;;;;;;;;;;;;
Caffeine metabolism,cpd:C16353; cpd:C07481; cpd:C16359; hsa:7498;;;;;;;;;;;;
Valine, leucine and isoleucine biosynthesis,cpd:C00188; cpd:C00123; cpd:C00109;;;;;;;;;;;;;
Retinol metabolism,cpd:C00777; cpd:C11061; hsa:125; hsa:131; hsa:316; hsa:145226; hsa:56603;;;;;;;;;
D-Arginine and D-ornithine metabolism,cpd:C00515; cpd:C03771;;;;;;;;;;;;;;
Ascorbate and aldarate metabolism,cpd:C00137; cpd:C00191; cpd:C00818;;;;;;;;;;;;;
Ether lipid metabolism,cpd:C01233; cpd:C00670; hsa:7941; hsa:123745; hsa:26279; hsa:5320;;;;;;;;;;
beta-Alanine metabolism,cpd:C00222; cpd:C00049; cpd:C05340; cpd:C00106; cpd:C00135; hsa:220;;;;;;;;;;
Glycerolipid metabolism,cpd:C00416; cpd:C00093; cpd:C00258; hsa:9388; hsa:57016;;;;;;;;;;;
Synthesis and degradation of ketone bodies,cpd:C01089; cpd:C00164;;;;;;;;;;;;;;
Tryptophan metabolism,cpd:C00078; cpd:C00328; cpd:C00331; cpd:C05642; cpd:C00954; hsa:3620; hsa:6999; hsa:259307; hsa:316;;;;;;;
Pentose and glucuronate interconversions,cpd:C00310; cpd:C00191; cpd:C00259; hsa:57016;;;;;;;;;;;;
Sphingolipid metabolism,cpd:C06124; cpd:C00550; cpd:C00195; cpd:C00065; hsa:125981; hsa:8877;;;;;;;;;;
Cysteine and methionine metabolism,cpd:C00065; cpd:C00155; cpd:C00073; cpd:C00491; cpd:C00109; cpd:C00022; hsa:259307;;;;;;;;;
Taurine and hypotaurine metabolism,cpd:C00245; cpd:C00519;;;;;;;;;;;;;;
Porphyrin and chlorophyll metabolism,cpd:C00037; cpd:C00430; cpd:C00025; cpd:C00486; hsa:1356;;;;;;;;;;;
Arachidonic acid metabolism,cpd:C00219; cpd:C00157; cpd:C04742; hsa:123745; hsa:26279; hsa:5320; hsa:9536;;;;;;;;;
Pantothenate and CoA biosynthesis,cpd:C00864; cpd:C00049; cpd:C00106;;;;;;;;;;;;;
Pentose phosphate pathway,cpd:C00121; cpd:C00257; cpd:C00198; cpd:C00258;;;;;;;;;;;;
Pyrimidine metabolism,cpd:C00064; cpd:C00169; cpd:C00337; cpd:C00299; cpd:C00295; cpd:C00106; hsa:6241; hsa:4907;;;;;;;;
Glycolysis or Gluconeogenesis,cpd:C00022; cpd:C00221; hsa:220; hsa:125; hsa:131;;;;;;;;;;;
Purine metabolism,cpd:C00385; cpd:C00064; cpd:C00212; cpd:C00262; cpd:C00294; cpd:C00059; cpd:C00700; cpd:C00147; cpd:C01345; cpd:C00366; hsa:6241; hsa:7498; hsa:4907;;;
Glutathione metabolism,cpd:C00037; cpd:C00025; cpd:C00077; hsa:6241;;;;;;;;;;;;
Pyruvate metabolism,cpd:C00256; cpd:C00022; cpd:C00149;;;;;;;;;;;;;
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,cpd:C00350; hsa:2822;;;;;;;;;;;;;;
Propanoate metabolism,cpd:C00042; cpd:C00222; cpd:C00109;;;;;;;;;;;;;
Primary bile acid biosynthesis,cpd:C02528; cpd:C00037; cpd:C00245; cpd:C00695; cpd:C04722; hsa:9023;;;;;;;;;;
Ubiquinone and other terpenoid-quinone biosynthesis,cpd:C00082;;;;;;;;;;;;;;;
Sulfur metabolism,cpd:C00059;;;;;;;;;;;;;;;
Galactose metabolism,cpd:C00794; cpd:C00137; hsa:57016;;;;;;;;;;;;;
Biotin metabolism,cpd:C00047;;;;;;;;;;;;;;;
Vitamin B6 metabolism,hsa:316;;;;;;;;;;;;;;;
Fructose and mannose metabolism,cpd:C00794; hsa:57016;;;;;;;;;;;;;;
Inositol phosphate metabolism,cpd:C00137; cpd:C00222; cpd:C00191;;;;;;;;;;;;;
Glycosphingolipid biosynthesis - globo and isoglobo series,hsa:53947;;;;;;;;;;;;;;;
Valine, leucine and isoleucine degradation,cpd:C00164; cpd:C00123; hsa:259307; hsa:316;;;;;;;;;;;;
Fatty acid biosynthesis,cpd:C00249; cpd:C00383; cpd:C06424; cpd:C02679; cpd:C01571; cpd:C06423;;;;;;;;;;
Amino sugar and nucleotide sugar metabolism,cpd:C00140; cpd:C00329; hsa:9945;;;;;;;;;;;;;
Drug metabolism - cytochrome P450,hsa:125; hsa:131; hsa:220; hsa:316;;;;;;;;;;;;
Folate biosynthesis,cpd:C00268; hsa:57016;;;;;;;;;;;;;;
Fatty acid degradation,cpd:C00249; cpd:C02990; hsa:125; hsa:131;;;;;;;;;;;;
Glycosaminoglycan degradation,hsa:23553;;;;;;;;;;;;;;;
Drug metabolism - other enzymes,hsa:7498; hsa:6241;;;;;;;;;;;;;;
Phosphatidylinositol signaling system,cpd:C00137; cpd:C00416;;;;;;;;;;;;;;
Steroid biosynthesis,cpd:C01673; hsa:1594;;;;;;;;;;;;;;
Metabolism of xenobiotics by cytochrome P450,hsa:220; hsa:125; hsa:131; hsa:1645; hsa:3290;;;;;;;;;;;
Fatty acid elongation,cpd:C00249;;;;;;;;;;;;;;;
Steroid hormone biosynthesis,cpd:C00735; hsa:1646; hsa:1645; hsa:3290; hsa:6783;;;;;;;;;;;
Glycosphingolipid biosynthesis - lacto and neolacto series,hsa:53947;;;;;;;;;;;;;;;
